id,name,gender,birthdate,birthplace,deathdate,deathplace,category,year,share,overallmotivation,motivation,affiliations
1004,"Abdulrazak Gurnah",male,1948-00-00,,,,Literature,2021,1,,"for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents",
982,"Abhijit Banerjee",male,1961-02-21,"Mumbai India",,,"Economic Sciences",2019,1/3,,"for their experimental approach to alleviating global poverty","Massachusetts Institute of Technology (MIT); Cambridge MA USA"
981,"Abiy Ahmed Ali",male,1976-08-15,"Beshasha Ethiopia",,,Peace,2019,1,,"for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",
978,"Akira Yoshino",male,1948-01-30,"Suita Japan",,,Chemistry,2019,1/3,,"for the development of lithium-ion batteries","Asahi Kasei Corporation; Tokyo Japan; Meijo University; Nagoya Japan"
990,"Andrea Ghez",female,1965-06-16,"New York NY USA",,,Physics,2020,1/4,,"for the discovery of a supermassive compact object at the centre of our galaxy","University of California; Los Angeles CA USA"
998,"Ardem Patapoutian",male,1967-00-00,"Beirut Lebanon",,,"Physiology or Medicine",2021,1/2,,"for their discoveries of receptors for temperature and touch","Scripps Research; La Jolla CA USA; Howard Hughes Medical Institute;"
1002,"Benjamin List",male,1968-01-11,"Frankfurt-on-the-Main Germany",,,Chemistry,2021,1/2,,"for the development of asymmetric organocatalysis","Max-Planck-Institut für Kohlenforschung; Mülheim an der Ruhr Germany"
987,"Charles M. Rice",male,1952-08-25,"Sacramento CA USA",,,"Physiology or Medicine",2020,1/3,,"for the discovery of Hepatitis C virus","Rockefeller University; New York NY USA"
